year,province_code,subject_track,score,count,cumulative_count,rank_min,rank_max,source_id
2023,AH,history,375,570,87012,86443,87012,src_collected_ah_2023_score_segments
2023,AH,history,376,552,86442,85891,86442,src_collected_ah_2023_score_segments
2023,AH,history,377,589,85890,85302,85890,src_collected_ah_2023_score_segments
2023,AH,history,378,615,85301,84687,85301,src_collected_ah_2023_score_segments
2023,AH,history,379,576,84686,84111,84686,src_collected_ah_2023_score_segments
2023,AH,history,380,601,84110,83510,84110,src_collected_ah_2023_score_segments
2023,AH,history,381,572,83509,82938,83509,src_collected_ah_2023_score_segments
2023,AH,history,382,591,82937,82347,82937,src_collected_ah_2023_score_segments
2023,AH,history,383,603,82346,81744,82346,src_collected_ah_2023_score_segments
2023,AH,history,384,565,81743,81179,81743,src_collected_ah_2023_score_segments
2023,AH,history,385,578,81178,80601,81178,src_collected_ah_2023_score_segments
2023,AH,history,386,612,80600,79989,80600,src_collected_ah_2023_score_segments
2023,AH,history,387,587,79988,79402,79988,src_collected_ah_2023_score_segments
2023,AH,history,388,539,79401,78863,79401,src_collected_ah_2023_score_segments
2023,AH,history,389,560,78862,78303,78862,src_collected_ah_2023_score_segments
2023,AH,history,390,581,78302,77722,78302,src_collected_ah_2023_score_segments
2023,AH,history,391,588,77721,77134,77721,src_collected_ah_2023_score_segments
2023,AH,history,392,586,77133,76548,77133,src_collected_ah_2023_score_segments
2023,AH,history,393,616,76547,75932,76547,src_collected_ah_2023_score_segments
2023,AH,history,394,542,75931,75390,75931,src_collected_ah_2023_score_segments
2023,AH,history,395,520,75389,74870,75389,src_collected_ah_2023_score_segments
2023,AH,history,396,540,74869,74330,74869,src_collected_ah_2023_score_segments
2023,AH,history,397,544,74329,73786,74329,src_collected_ah_2023_score_segments
2023,AH,history,398,522,73785,73264,73785,src_collected_ah_2023_score_segments
2023,AH,history,399,521,73263,72743,73263,src_collected_ah_2023_score_segments
2023,AH,history,400,515,72742,72228,72742,src_collected_ah_2023_score_segments
2023,AH,history,401,558,72227,71670,72227,src_collected_ah_2023_score_segments
2023,AH,history,402,535,71669,71135,71669,src_collected_ah_2023_score_segments
2023,AH,history,403,517,71134,70618,71134,src_collected_ah_2023_score_segments
2023,AH,history,404,543,70617,70075,70617,src_collected_ah_2023_score_segments
