year,province_code,batch_code,subject_track,college_code,group_code,major_code,min_score,min_rank,avg_score,avg_rank,max_score,max_rank,admitted_count,source_id
2025,AH,ordinary_undergraduate,physics,1024,003,,510,119997,,,,,8,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1024,004,,508,121985,,,,,6,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1024,005,,505,126915,,,,,4,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1024,006,,521,105169,,,,,2,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1024,007,,515,113345,,,,,2,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1024,008,,505,126629,,,,,2,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1025,001,,597,28824,,,,,26,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1025,002,,566,54131,,,,,5,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1025,003,,578,42912,,,,,3,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1026,003,,530,93422,,,,,,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1026,004,,526,98146,,,,,5,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1026,005,,537,84440,,,,,3,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1026,006,,515,113197,,,,,3,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1028,001,,466,184491,,,,,2,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1029,001,,506,125351,,,,,25,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1029,002,,507,124181,,,,,4,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1029,003,,519,106894,,,,,116,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1029,004,,471,176874,,,,,17,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1029,005,,500,134624,,,,,7,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1029,006,,556,63999,,,,,5,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1029,007,,511,118001,,,,,2,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1030,001,,531,92552,,,,,41,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1031,001,,482,161431,,,,,25,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1032,005,,687,106,,,,,25,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1033,002,,680,285,,,,,9,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1033,003,,674,599,,,,,17,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1034,001,,581,40475,,,,,5,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1035,001,,599,27664,,,,,1,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1037,001,,527,96969,,,,,2,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1037,002,,521,104820,,,,,10,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1038,001,,581,40555,,,,,35,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1038,002,,592,32046,,,,,15,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1039,003,,618,16211,,,,,35,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1039,004,,619,15613,,,,,6,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1041,003,,667,1216,,,,,122,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,physics,1041,004,,651,3786,,,,,14,src_ah_2025_admission_physics
2025,AH,ordinary_undergraduate,history,1003,001,,503,31694,,,,,8,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1005,001,,504,31245,,,,,4,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1006,001,,528,21246,,,,,6,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1006,002,,526,21915,,,,,2,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1009,001,,503,31700,,,,,1,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1009,002,,501,32583,,,,,2,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1009,003,,505,31036,,,,,9,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1009,004,,502,32225,,,,,13,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1009,005,,511,28351,,,,,1,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1013,001,,503,31777,,,,,23,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1013,002,,485,40287,,,,,7,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1020,001,,503,31764,,,,,6,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1023,001,,507,30143,,,,,3,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1023,002,,517,25471,,,,,3,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1024,001,,517,25425,,,,,20,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1025,001,,578,6972,,,,,5,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1026,001,,578,6931,,,,,,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1026,002,,561,10720,,,,,2,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1028,001,,478,44168,,,,,19,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1029,001,,519,24841,,,,,44,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1029,002,,521,23899,,,,,2,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1029,003,,528,21237,,,,,5,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1030,001,,506,30415,,,,,14,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1031,001,,510,28656,,,,,1,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1032,005,,667,26,,,,,18,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1033,001,,663,42,,,,,,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1034,001,,573,8031,,,,,14,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1035,001,,611,2164,,,,,,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1035,002,,607,2582,,,,,,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1037,001,,533,19544,,,,,2,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1038,001,,590,4729,,,,,6,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1041,001,,638,444,,,,,7,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1042,001,,602,3090,,,,,13,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1044,002,,617,1588,,,,,10,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1051,001,,611,2150,,,,,18,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1054,001,,630,755,,,,,18,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1055,001,,566,9588,,,,,2,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1055,002,,552,13243,,,,,3,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1055,003,,547,14868,,,,,8,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1056,002,,605,2748,,,,,8,src_ah_2025_admission_history
2025,AH,ordinary_undergraduate,history,1056,003,,611,2129,,,,,1,src_ah_2025_admission_history
