year,province_code,batch_code,subject_track,college_code,group_code,college_name,subject_requirement,group_note,source_id
2024,AH,ordinary_undergraduate,history,1007,002,鞍山师范学院,不限,"002专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1007,003,鞍山师范学院,思想政治,"003专业组（思想政治）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1010,001,白城师范学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1010,002,白城师范学院,不限,"002专业组（不限）（中外合作办学）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1017,001,宝鸡文理学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1020,001,保定学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1020,002,保定学院,不限,"002专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1020,003,保定学院,地理,"003专业组（地理）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1022,001,北部湾大学,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1022,002,北部湾大学,不限,"002专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1023,001,北方工业大学,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1024,001,北方民族大学,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1025,001,北海艺术设计学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1026,001,北华大学,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1026,002,北华大学,思想政治,"002专业组（思想政治）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1027,001,北华航天工业学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1028,001,北京城市学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1029,006,北京大学,不限,"006专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1030,001,北京大学医学部,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1031,001,北京第二外国语学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1032,001,北京电影学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1032,002,北京电影学院,不限,"002专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1035,001,北京服装学院,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1036,001,北京工商大学,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
2024,AH,ordinary_undergraduate,history,1039,001,北京航空航天大学,不限,"001专业组（不限）; OCR sample from admission_ordinary_undergraduate_history_2024_01.jpg, top 1000px",src_ah_2024_admission_history
